dimension,label,item_count,avg_rating,avg_rating_count,total_rating_count,avg_rank,query_count,frequency_score,rating_count_score,rank_score,cross_category_score,trend_score,frequency_score_normalized,rating_count_score_normalized,rank_score_normalized,cross_category_score_normalized,rank_in_dimension
derived_colour,denim,71,3.8563380281690143,994.4366197183099,70605.0,23.422535211267604,4,0.12885662431941924,6.9031814546952255,0.5423972405863755,0.3333333333333333,0.7714702498928192,1.0,0.9356402439837936,0.7635064116039523,0.4285714285714286,2
derived_colour,black,29,3.7517241379310344,346.2758620689655,10042.0,23.79310344827586,7,0.05263157894736842,5.8501194556616705,0.5348346235045742,0.5833333333333334,0.694945431134425,0.39999999999999997,0.7214751427138609,0.7524446731857951,0.8571428571428572,3
derived_colour,white,9,3.4444444444444446,573.1111111111111,5158.0,26.11111111111111,5,0.016333938294010888,6.352822950950965,0.4875283446712019,0.4166666666666667,0.5657620845673825,0.11428571428571428,0.8237118059646353,0.6832504145936983,0.5714285714285716,4
derived_colour,navy,2,4.1,1047.0,2094.0,15.5,2,0.003629764065335753,6.954638864880987,0.7040816326530612,0.16666666666666666,0.5424755675734998,0.014285714285714285,0.9461053272112162,1.0,0.14285714285714288,5
derived_colour,blue,13,3.9692307692307693,186.46153846153845,2424.0,34.30769230769231,7,0.023593466424682397,5.23357369616367,0.3202511773940345,0.5833333333333334,0.5324511301004271,0.17142857142857146,0.5960859584667619,0.4385763490241102,0.8571428571428572,6
derived_colour,pink,6,4.033333333333333,112.83333333333333,677.0,22.333333333333332,4,0.010889292196007259,4.734735390342735,0.564625850340136,0.3333333333333333,0.4608485405452247,0.07142857142857142,0.4946353730487062,0.7960199004975124,0.4285714285714286,7
derived_colour,multi,9,3.9555555555555557,203.77777777777777,1834.0,29.88888888888889,3,0.016333938294010888,5.321925380333604,0.4104308390022675,0.25,0.40639615914093774,0.11428571428571428,0.6140543662195709,0.5704809286898838,0.2857142857142858,8
derived_colour,brown,5,3.9799999999999995,1365.0,6825.0,37.8,2,0.009074410163339383,7.2196420401307355,0.2489795918367348,0.16666666666666666,0.3971698027490675,0.05714285714285715,1.0,0.33432835820895535,0.14285714285714288,9
derived_colour,grey,4,3.5749999999999997,21.75,87.0,21.5,2,0.007259528130671506,3.1245651453969594,0.5816326530612245,0.16666666666666666,0.29927154186618726,0.04285714285714286,0.1671691138093429,0.8208955223880596,0.14285714285714288,10
derived_colour,khaki,1,4.3,9.0,9.0,23.0,1,0.0018148820326678765,2.302585092994046,0.5510204081632653,0.08333333333333333,0.19681722459196813,0.0,0.0,0.7761194029850745,0.0,11
derived_colour,green,1,4.4,11.0,11.0,49.0,1,0.0018148820326678765,2.4849066497880004,0.020408163265306145,0.08333333333333333,0.009712909242929509,0.0,0.03707940720518283,0.0,0.0,12
derived_material,cotton,146,3.8691780821917807,581.8972602739726,84957.0,24.472602739726028,10,0.26497277676951,6.368010944875717,0.5209672910259995,0.8333333333333334,0.811042913809426,1.0,0.860044027544567,0.5300564061240935,1.0,1
derived_material,denim,68,3.8823529411764706,1016.5294117647059,69124.0,24.13235294117647,3,0.12341197822141561,6.925132822810241,0.5279111644657863,0.25,0.5513025747817136,0.46206896551724147,1.0,0.5380622837370242,0.22222222222222224,2
derived_material,polyester,2,3.9,105.5,211.0,4.5,2,0.003629764065335753,4.66814498514948,0.9285714285714286,0.16666666666666666,0.4589467404618975,0.006896551724137931,0.4330164724261271,1.0,0.1111111111111111,3
derived_material,knit,28,3.667857142857143,199.46428571428572,5585.0,21.857142857142858,2,0.050816696914700546,5.300636104766995,0.5743440233236152,0.16666666666666666,0.39488192735325917,0.18620689655172415,0.5919061395195785,0.5915966386554623,0.1111111111111111,4
derived_material,leather,43,3.7906976744186047,198.2325581395349,8524.0,25.046511627906977,2,0.0780399274047187,5.2944727762704815,0.5092548647365923,0.16666666666666666,0.39133913307589135,0.2896551724137931,0.5903578344404641,0.5165526675786594,0.1111111111111111,5
derived_material,linen,22,3.5818181818181816,232.77272727272728,5121.0,27.136363636363637,1,0.039927404718693285,5.4543493924166,0.46660482374768086,0.08333333333333333,0.3272834234896048,0.14482758620689656,0.630520836777708,0.467379679144385,0.0,6
derived_material,fleece,2,4.1,37.0,74.0,21.5,1,0.003629764065335753,3.6375861597263857,0.5816326530612245,0.08333333333333333,0.2417125973365593,0.006896551724137931,0.1741272270076064,0.6,0.0,7
derived_material,wool,10,3.84,57.0,570.0,32.7,2,0.018148820326678767,4.060443010546419,0.3530612244897958,0.16666666666666666,0.21383106176423802,0.06206896551724139,0.2803541480995746,0.336470588235294,0.1111111111111111,8
derived_material,synthetic,1,4.0,18.0,18.0,47.0,1,0.0018148820326678765,2.9444389791664403,0.061224489795918324,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,9
derived_pattern,solid,55,3.7236363636363636,656.7272727272727,36120.0,22.836363636363636,11,0.0998185117967332,6.488790366267214,0.5543599257884972,0.9166666666666666,0.8135326338514897,0.9642857142857142,1.0,0.42927580893682593,1.0,1
derived_pattern,floral,57,3.8228070175438598,456.17543859649123,26002.0,27.17543859649123,4,0.10344827586206896,6.125067209122606,0.4658073755818116,0.3333333333333333,0.6172656565889234,1.0,0.9254566747153354,0.2821885221528396,0.30000000000000004,2
derived_pattern,striped,48,3.9166666666666665,437.3125,20991.0,26.145833333333332,2,0.08711433756805807,6.08293212629713,0.48681972789115646,0.16666666666666666,0.5412581136660503,0.8392857142857143,0.9168212905687412,0.317090395480226,0.1,3
derived_pattern,embroidered,1,4.1,134.0,134.0,6.0,1,0.0018148820326678765,4.90527477843843,0.8979591836734694,0.08333333333333333,0.45290017194266263,0.0,0.6754660371818788,1.0,0.0,4
derived_pattern,printed,16,3.94375,162.25,2596.0,26.125,3,0.029038112522686024,5.09528276815654,0.4872448979591837,0.25,0.36396351486067324,0.26785714285714285,0.7144072679119615,0.31779661016949157,0.20000000000000004,5
derived_pattern,reversible,11,4.081818181818182,132.63636363636363,1459.0,21.727272727272727,1,0.019963702359346643,4.895122406974411,0.5769944341372912,0.08333333333333333,0.3358605658698935,0.17857142857142858,0.6733853570998235,0.4668721109399075,0.0,6
derived_pattern,stripe,1,4.1,126.0,126.0,25.0,1,0.0018148820326678765,4.844187086458591,0.5102040816326531,0.08333333333333333,0.25076724184791427,0.0,0.6629464062353893,0.35593220338983056,0.0,7
derived_pattern,check,2,2.05,4.0,8.0,20.5,2,0.003629764065335753,1.6094379124341003,0.6020408163265306,0.16666666666666666,0.18299468869893226,0.017857142857142856,0.0,0.5084745762711864,0.1,8
derived_pattern,graphic,2,4.1,220.5,441.0,35.5,1,0.003629764065335753,5.40042258948519,0.29591836734693877,0.08333333333333333,0.1695456728037407,0.017857142857142856,0.7769442180945495,0.0,0.0,9
