asin,query,brand_name,product_name,image_url,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,manual_note
B0FPMKKMSV,bucket hat,Panchhi Store,Panchhi Store Women Bucket Cap Foldable Cotton Two Tone Dual Color Sun Beach Hat Fisherman Hat Casual Outdoor Cap Lovely,https://m.media-amazon.com/images/I/61VVYspaCzL._AC_UL320_.jpg,casual,vacation,unknown,cotton,unknown,
B0C9R8PG6S,bucket hat,Nike,Nike Adult Unisex Futura Washed Bucket Hat,https://m.media-amazon.com/images/I/71rLZLAWZKL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,unknown,
B0DZXTT6FV,bucket hat,Handcuffs,Handcuffs Women's Cotton Bucket Hat Fishermen Cap Free Size Hats,https://m.media-amazon.com/images/I/71TmsWhosuL._AC_UL320_.jpg,unknown,unknown,unknown,cotton,unknown,
B0CRVPCRHT,bucket hat,Tomorrow Fashion,"Tomorrow Fashion Women's Bucket Hat - Cotton UV Protection Hat For Fashionable Outdoor Activities, Beach Vacation, Fishin...",https://m.media-amazon.com/images/I/71xB8rTUB4L._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B0CKC21SNV,bucket hat,VRITRAZ,VRITRAZ Comfortable Adults Unisex Reversible Hats for Mens and Women,https://m.media-amazon.com/images/I/711+I1-eoDL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,reversible,
B0DY7SQYGW,bucket hat,Jessica Exim,"Jessica Exim Unisex Sun Protection Bucket Hat for Men & Women - Foldable, Quick-Dry, Breathable, and Packable Bucket Hat f...",https://m.media-amazon.com/images/I/41H7ES9raGL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0FM8755KJ,bucket hat,DAADUN,"DAADUN Unisex Kids Cotton Bucket Hat – Reversible, Lightweight & Breathable Summer Sun Hat (Pack of 2)",https://m.media-amazon.com/images/I/61AotF23KEL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,reversible,
B0B1LYL3F3,bucket hat,Ek Rag,Ek Rag Bucket Hat Unisex 100% Cotton Foldable Bucket Beach Sun Hat Plain Blue Bucket Hat,https://m.media-amazon.com/images/I/51iTL45-yAL._AC_UL320_.jpg,unknown,vacation,blue,cotton,unknown,
B0CZ8X39V9,bucket hat,DEDICATED,"DEDICATED Alien Bucket Hat UFO Abduction Apparel Cap - Trendy Black Hat for Men & Women, Summer Sun Protection, Packable F...",https://m.media-amazon.com/images/I/51-RetXOVNL._AC_UL320_.jpg,unknown,vacation,black,unknown,unknown,
B0FHH1VN5L,bucket hat,CoolShef,CoolShef Bucket Hat | Reversible Double-Sided Daisy Print Fisherman Hats for Women Cap | Foldable Outdoor Sun Hat for Wome...,https://m.media-amazon.com/images/I/61HyT6WZENL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,reversible,
B0FLDVVD7Q,bucket hat,FabSeasons,"FabSeasons Camouflage Bucket Hat for Men & Women – Adjustable Outdoor Sun Protection Hat, Wide Brim, Lightweight, One Size...",https://m.media-amazon.com/images/I/81IVPYUDcaL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0BX2NFRH7,bucket hat,PALAY,PALAY® Bucket Hat for Women Sun Protection Wide Brim Beach Hat Sun Hats for Women Fashion Lightweight Quick Dry Summer Cap...,https://m.media-amazon.com/images/I/61lNKUc8IOL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B099VXNT1S,bucket hat,Electomania,"Electomania Sun Protection Cap for Men, Beach Fishing Hat, Summer Hat for Men, Round Sun Cap for Hiking, Fishing, Gardnin...",https://m.media-amazon.com/images/I/61m4wKTAYsS._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0GF29LRXX,bucket hat,PANCA,"PANCA Straw Hat Sun Hats for Women | Wide Brim Beach Cap with UV Protection | Stylish Summer Travel Hat for Outdoor, Vacat...",https://m.media-amazon.com/images/I/51VVw4ESsjL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B08TTVDJFZ,bucket hat,CHOK.LIDS,CHOK.LIDS Everyday Cotton Style Bucket Hat Unisex Trendy Lightweight Outdoor Hot Fun Summer Beach Vacation Getaway Headwear,https://m.media-amazon.com/images/I/61XWkloMaOL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B0CWFBGXCG,bucket hat,NORTHWIND,"NORTHWIND Cotton Bucket hat for Women, Bucket hat for Man, Beach hat for Women, Sun Protection Cap for Men, Round hat for ...",https://m.media-amazon.com/images/I/61OwGs2J+iL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B09Y99DYF3,bucket hat,PrimeBox,PrimeBox Cotton Classic Packable Beach Outdoor Bucket Sun Hat for Men Women Adult Teen Summer Sun Protection Pack of 1pcs ...,https://m.media-amazon.com/images/I/61jlkV9W0ML._AC_UL320_.jpg,basic,vacation,unknown,cotton,unknown,
B0B323D87R,bucket hat,JAZAA,JAZAA Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,https://m.media-amazon.com/images/I/51sAULH36zL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,reversible,
B0CNX8TMS1,bucket hat,Generic,GIFFEMANS Bucket Hat for Women Men Unisex Bucket Hat Beach Sun Hat Aesthetic Fishing Hat for Men Women Teens,https://m.media-amazon.com/images/I/31tzjt0oApL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0DRYK41HL,bucket hat,PALAY,PALAY® Sun Hat for Girls Women Reversible Hiking Bucket Hat Fashion Mint Green Daisy Flower Bucket Breathable Cotton Wide ...,https://m.media-amazon.com/images/I/71BLgUOW-AL._AC_UL320_.jpg,unknown,vacation,green,cotton,reversible,
B0FPD4RHYH,denim jacket,GRECIILOOKS,GRECIILOOKS Men’S Denim Jacket | Classic Regular Fit Jeans Jacket For Men | Stylish Branded Jackets For Men – Timeless Cas...,https://m.media-amazon.com/images/I/51g+JumJl9L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B08PFYB45F,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/71e5Iu8ju8L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0FN7KHQ3Y,denim jacket,ODDMONKEY,ODDMONKEY Mens Denim Jacket || Jecket For Men || Denim Jackets (JACKET-01),https://m.media-amazon.com/images/I/81kER3TiAWL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B084HDTG6R,denim jacket,FUNDAY FASHION,FUNDAY FASHION Womens Denim Standard Length Full Sleeve Solid Jacket,https://m.media-amazon.com/images/I/81iiPvmfJvL._AC_UL320_.jpg,unknown,unknown,denim,denim,solid,
B0CK2785H2,denim jacket,VOGATI,VOGATI Men's Denim Jacket,https://m.media-amazon.com/images/I/71CRiLBCNxL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FPD4WBL9,denim jacket,GRECIILOOKS,GRECIILOOKS Men’S Denim Jacket | Classic Regular Fit Jeans Jacket For Men | Stylish Branded Jackets For Men – Timeless Cas...,https://m.media-amazon.com/images/I/71hCkZSkl1L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B08PFZBB2P,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/61CIVMG34jL._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B08PFZ3LP8,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/71JD6wLCE+L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0FN7GNKYZ,denim jacket,ODDMONKEY,ODDMONKEY Mens Denim Jacket || Jecket For Men || Denim Jackets (JACKET-01),https://m.media-amazon.com/images/I/815DHwdwDaL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0C1P13DL9,denim jacket,VOXATI,VOXATI Men's Slim Fit Jacket,https://m.media-amazon.com/images/I/61D2ou4BoaL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0G65Q3DN5,denim jacket,FUNDAY FASHION,FUNDAY FASHION Regular Wear Full Sleeves Men's Denim Jacket,https://m.media-amazon.com/images/I/41oUuU3RaML._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0BT1N4YNJ,denim jacket,VOXATI,VOXATI Men Jacket,https://m.media-amazon.com/images/I/61G1ZLzdBeS._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FPD3H9S7,denim jacket,GRECIILOOKS,GRECIILOOKS Men’S Denim Jacket | Classic Regular Fit Jeans Jacket For Men | Stylish Branded Jackets For Men – Timeless Cas...,https://m.media-amazon.com/images/I/61A35FdLX9L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0F93MYQZX,denim jacket,Miss Chase,Miss Chase Women's Collared Full Sleeves Buttoned Denim Jacket,https://m.media-amazon.com/images/I/81yYlXWiwBL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B08VDJF7VW,denim jacket,FUNDAY FASHION,FUNDAY FASHION Womens Denim Standard Length Full Sleeve Solid Jacket,https://m.media-amazon.com/images/I/71V0TFm3MsL._AC_UL320_.jpg,unknown,unknown,denim,denim,solid,
B0FN7HLMS1,denim jacket,ODDMONKEY,ODDMONKEY Mens Denim Jacket || Jecket For Men || Denim Jackets (JACKET-01),https://m.media-amazon.com/images/I/719+QbQhZAL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FYGN74H4,denim jacket,Nifty,Nifty Women's Denim Trucker Jacket,https://m.media-amazon.com/images/I/61DGc07LVsL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B09NL6JWZF,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/61j+LBHFiiL._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0F99TWY8L,denim jacket,KiddoPanti,Girls Full Sleeve Solid Crop Denim Jacket,https://m.media-amazon.com/images/I/81xyqg--CJL._AC_UL320_.jpg,unknown,unknown,denim,denim,solid,
B0D7SKVM3L,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/61lkPO7RtML._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B07P9136MB,denim jacket,FUNDAY FASHION,FUNDAY FASHION Men's Denim Blend Standard Length Jacket,https://m.media-amazon.com/images/I/71h8PRDMbFL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0BS3B7T44,denim jacket,Aarika,Aarika Women's Denim Regular A-Line Coat,https://m.media-amazon.com/images/I/71H2k2c+pML._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0FFGL9GG7,denim jacket,GAP,GAP Men's Cotton Elastane Classic Denim Jacket,https://m.media-amazon.com/images/I/61uJviELQiL._AC_UL320_.jpg,basic,unknown,denim,cotton,unknown,
B0G3PBJFBM,denim jacket,KiddoPanti,"KiddoPanti Boys Denim Jacket | Cotton Poly Blend with Spandex | Washed Denim, Full Sleeve | Button Closure & Front Flap Po...",https://m.media-amazon.com/images/I/81eiGQevbKL._AC_UL320_.jpg,unknown,unknown,denim,cotton,unknown,
B0CDXF7VP5,denim jacket,JACK & JONES,JACK & JONES Men's Cotton Blend Standard Length A-Line Coat,https://m.media-amazon.com/images/I/51mBgIs03BL._AC_UL320_.jpg,unknown,unknown,denim,cotton,unknown,
B0FR41WXL7,denim jacket,Urbano Fashion,Urbano Fashion Men's Relaxed Fit Full Sleeve Harrington Denim Jacket,https://m.media-amazon.com/images/I/71n9itMzqWL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FPK12Z25,denim jacket,INKD,INKD Men's Overdyed Cotton Denim Jacket - 100% Cotton | Double Flat Pocket | Regular Fit | Full Sleeve,https://m.media-amazon.com/images/I/61qqt9s1s3L._AC_UL320_.jpg,basic,unknown,denim,cotton,unknown,
B07P6RF6GT,denim jacket,FUNDAY FASHION,FUNDAY FASHION Men's Denim Blend Standard Length Jacket,https://m.media-amazon.com/images/I/81kDI4r4jkL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FYQG7MJ3,denim jacket,Generic,"Women's Classic Denim Jacket, Dark Blue, Long Sleeve Button Down Casual Outerwear",https://m.media-amazon.com/images/I/41ti8PIQyaL._AC_UL320_.jpg,casual,daily wear,blue,denim,unknown,
B0BVZZ53QK,denim jacket,FUNDAY FASHION,FUNDAY FASHION Women Denim Standard Length Full Sleeve Solid Jacket,https://m.media-amazon.com/images/I/51K679LP8ZL._AC_UL320_.jpg,unknown,unknown,denim,denim,solid,
B0FX4ZR3ZK,denim jacket,Generic,"Women's Oversized Light Blue Denim Jacket – Casual Long Sleeve Button-Down Style with Chest and Side Pockets, Classic Jean...",https://m.media-amazon.com/images/I/41sQ3xWU5GL._AC_UL320_.jpg,casual,daily wear,blue,denim,unknown,
B0DHY668NF,denim jacket,FUNDAY FASHION,FUNDAY FASHION Women's Denim Regular Full Sleeve Jacket,https://m.media-amazon.com/images/I/61RaG8c5ISL._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0BLVJ4W48,denim jacket,Style Quotient,Style Quotient Women Navy Blue Denim Open Front Regular Shrug,https://m.media-amazon.com/images/I/419a4kVry3L._AC_UL320_.jpg,basic,unknown,blue,denim,unknown,
B0BB339DZT,denim jacket,Buynewtrend,Buynewtrend Twill Buttoned Women Regular Jacket,https://m.media-amazon.com/images/I/612aHibG3jL._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0BJ97P89D,denim jacket,Urbano Plus,Urbano Plus Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/61iIiXV1-1L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B09NL6XP3D,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,https://m.media-amazon.com/images/I/71JD6wLCE+L._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0B3JX7GP9,denim jacket,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Sleeveless Denim Jacket,https://m.media-amazon.com/images/I/71tipV7aSBL._AC_UL320_.jpg,basic,unknown,denim,denim,unknown,
B0F2T8LDZD,denim jacket,Aarika,Aarika Womens Blue Colour Denim Solid Denim Jacket,https://m.media-amazon.com/images/I/71GnksTD4fL._AC_UL320_.jpg,unknown,unknown,blue,denim,solid,
B0FMFKHTQ2,denim jacket,KOTTY,KOTTY Men's Stylish Black/Blue Denim Jacket for Winter Latest Casual Biker Riding Wear Trendy Upper Jeans Look Outfit,https://m.media-amazon.com/images/I/71H7zL6xrbL._AC_UL320_.jpg,casual,daily wear,black,denim,unknown,
B0DDY85MJ8,denim jacket,KOTTY,KOTTY Men's Classic Denim Jacket - Buttoned Front|Regular Fit|Long Sleeves|Distressed Detailing|Casual Outerwear,https://m.media-amazon.com/images/I/51LSOEuQ0CL._AC_UL320_.jpg,casual,daily wear,denim,denim,unknown,
B089XDYJL2,denim jacket,VOXATI,VOXATI Women's Denim Jacket - Multiple Design Options,https://m.media-amazon.com/images/I/71+xZxkHTPL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FHB78S5L,denim jacket,Aarika,Aarika Womens Blue Colour Denim Solid Denim Jacket,https://m.media-amazon.com/images/I/61NOqFTtYnL._AC_UL320_.jpg,unknown,unknown,blue,denim,solid,
B0BY51D2XH,denim jacket,Buynewtrend,Buynewtrend Solid Plus Size Women Denim Jacket,https://m.media-amazon.com/images/I/61rsEgrGlxL._AC_UL320_.jpg,unknown,unknown,denim,denim,solid,
B0G4SC5Z8X,denim jacket,Nifty,Nifty Women's Denim Trucker Jacket,https://m.media-amazon.com/images/I/61a-k5MOCaL._AC_UL320_.jpg,unknown,unknown,denim,denim,unknown,
B0FPD5J17Y,denim jacket,INKD,INKD Women's Overdyed Trucker Denim Jacket - Jacket for Women | 100% Cotton | Double Flap Pocket | Regular Fit | Full Slee...,https://m.media-amazon.com/images/I/61FLZE0ifiL._AC_UL320_.jpg,basic,unknown,denim,cotton,unknown,
B0GQT2Q19H,floral dress,MASIYALA,"MASIYALA Women's Floral Print Maxi Dress, Black with Pink Flowers, Short Sleeve, A-Line Style",https://m.media-amazon.com/images/I/61yVG8Qe+FL._AC_UL320_.jpg,unknown,unknown,black,unknown,floral,
B0GCNTLFMB,floral dress,Generic,"Women's Pink Bandhani Print Tiered Maxi Dress, Short Sleeve, Square Neck, Cotton",https://m.media-amazon.com/images/I/61RR8+DmkLL._AC_UL320_.jpg,unknown,unknown,red,cotton,floral,
B0GK9ZFB6J,floral dress,Modestouze Attires,"Modestouze Attires Dress for Women Western Maxi Style, Indo Western Dresses, One Piece Long Gown, A Line Flared Pattern, E...",https://m.media-amazon.com/images/I/61QQbNKtCGL._AC_UL320_.jpg,unknown,unknown,red,unknown,floral,
B0F4XGDY7H,floral dress,FABNEX,FABNEX One Piece Long Maxi Dresses for Women (K-141-142),https://m.media-amazon.com/images/I/61jxvPIJFUL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0DQVB6Q91,floral dress,KATECLO,KATECLO Women's & Girls Midi Solid Cami Casual Dress,https://m.media-amazon.com/images/I/81+oNkZ7ZGL._AC_UL320_.jpg,casual,daily wear,unknown,unknown,solid,
B0FP2K63L3,floral dress,KZULLY,KZULLY | Dress for Women | Midi Length | Flared Hem | Puff Sleeve | Square Neck | Smocked Bodice,https://m.media-amazon.com/images/I/71mkuu0jn-L._AC_UL320_.jpg,unknown,unknown,red,unknown,floral,
B0DWXH2XSB,floral dress,LITZO,LITZO Dress for Women || Western Dresses for Women || One Piece Maxi Dress (L-32-34),https://m.media-amazon.com/images/I/713gJ+YKQ4L._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0DF2RY4Y6,floral dress,GRECIILOOKS,GRECIILOOKS Women Dress,https://m.media-amazon.com/images/I/71R0wHldqtL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0FPRFZRQT,floral dress,PURVAJA,PURVAJA Women’s A-Line Midi Dress,https://m.media-amazon.com/images/I/61HUSKCULQL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0G4QX7SCH,floral dress,Modestouze Attires,Modestouze Attires Dress for Woman | Western Dress for Women | Stylish Maxi Wear | Long One Piece | Floral Printed Frock f...,https://m.media-amazon.com/images/I/71eKFCtyXUL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0DF2QR2JX,floral dress,GRECIILOOKS,GRECIILOOKS Women Dress | One Piece Dress for Women | Dresses for Women | Maxi Dress for Women | Dress |Bodycon Dresses fo...,https://m.media-amazon.com/images/I/71+HFhl3nSL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0FW5B81BJ,floral dress,FERY LONDON,Fery London Womens One Piece Western Dress | Summer Dres for Women – Floral Printed Casual A-Line Mini Dresses | Womens Dress,https://m.media-amazon.com/images/I/619fNl+EXhL._AC_UL320_.jpg,casual,vacation,unknown,unknown,floral,
B0DBL3YYLJ,floral dress,KZULLY,KZULLY | Floral Printed Maxi Dresses for Women | Long Sleeve Beautiful Floral Patterns | Stylish and Elegant Dress | Tie Neck,https://m.media-amazon.com/images/I/81nbXr4Q0LL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0DWX7F327,floral dress,LITZO,LITZO Dress for Women || Western Dresses for Women || One Piece Maxi Dress (L-29-31-1),https://m.media-amazon.com/images/I/81j0l1uK7UL._AC_UL320_.jpg,unknown,unknown,unknown,unknown,floral,
B0F5QFVV1C,floral dress,Aahwan,Aahwan Black Floral Printed High Slit Ruched Bust Maxi Outfit Dress for Women's & Girl's,https://m.media-amazon.com/images/I/71X49KGDXaL._AC_UL320_.jpg,unknown,unknown,black,unknown,floral,
